folder,id,folder,name
n03498962,564,n03498962,hatchet
n03527444,565,n03527444,holster
n03530642,566,n03530642,honeycomb
n03532672,567,n03532672,"hook, claw"
n03534580,568,n03534580,"hoopskirt, crinoline"
n03535780,569,n03535780,"horizontal bar, high bar"
n03538406,570,n03538406,"horse cart, horse-cart"
n03544143,571,n03544143,hourglass
n03584254,572,n03584254,iPod
n03584829,573,n03584829,"iron, smoothing iron"
n03590841,574,n03590841,jack-o'-lantern
n03594734,575,n03594734,"jean, blue jean, denim"
n03594945,576,n03594945,"jeep, landrover"
n03595614,577,n03595614,"jersey, T-shirt, tee shirt"
n03598930,578,n03598930,jigsaw puzzle
n03599486,579,n03599486,"jinrikisha, ricksha, rickshaw"
n03602883,580,n03602883,joystick
n03617480,581,n03617480,kimono
n03623198,582,n03623198,knee pad
n03627232,583,n03627232,knot
n03630383,584,n03630383,"lab coat, laboratory coat"
n03633091,585,n03633091,ladle
n03649909,586,n03649909,"lawn mower, mower"
n03657121,587,n03657121,"lens cap, lens cover"
n03658185,588,n03658185,"letter opener, paper knife, paperknife"
n03662601,589,n03662601,lifeboat
n03666591,590,n03666591,"lighter, light, igniter, ignitor"
n03670208,591,n03670208,"limousine, limo"
n03673027,592,n03673027,"liner, ocean liner"
n03676483,593,n03676483,"lipstick, lip rouge"
n03680355,594,n03680355,Loafer
n03690938,595,n03690938,lotion
n03691459,596,n03691459,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"
n03692522,597,n03692522,"loupe, jeweler's loupe"
n03706229,598,n03706229,magnetic compass
n03709823,599,n03709823,"mailbag, postbag"
n03710193,600,n03710193,"mailbox, letter box"
n03717622,601,n03717622,manhole cover
n03720891,602,n03720891,maraca
n03721384,603,n03721384,"marimba, xylophone"
n03724870,604,n03724870,mask
n03729826,605,n03729826,matchstick
n03733131,606,n03733131,maypole
n03733805,607,n03733805,measuring cup
n03742115,608,n03742115,"medicine chest, medicine cabinet"
n03743016,609,n03743016,"megalith, megalithic structure"
n03759954,610,n03759954,"microphone, mike"
n03761084,611,n03761084,"microwave, microwave oven"
n03763968,612,n03763968,military uniform
n03764736,613,n03764736,milk can
n03769881,614,n03769881,minibus
n03770439,615,n03770439,"miniskirt, mini"
n03770679,616,n03770679,minivan
n03773504,617,n03773504,missile
n03775071,618,n03775071,mitten
n03775546,619,n03775546,mixing bowl
n03776460,620,n03776460,"mobile home, manufactured home"
n03777568,621,n03777568,Model T
n03777754,622,n03777754,modem
n03781244,623,n03781244,monastery
n03782006,624,n03782006,monitor
n03785016,625,n03785016,moped
n03786901,626,n03786901,mortar
n03787032,627,n03787032,mortarboard
n03788195,628,n03788195,mosque
n03788365,629,n03788365,mosquito net
n03791053,630,n03791053,"motor scooter, scooter"
n03792782,631,n03792782,"mountain bike, all-terrain bike, off-roader"
n03792972,632,n03792972,mountain tent
n03793489,633,n03793489,"mouse, computer mouse"
n03794056,634,n03794056,mousetrap
n03796401,635,n03796401,moving van
n03803284,636,n03803284,muzzle
n03804744,637,n03804744,nail
n03814639,638,n03814639,neck brace
n03814906,639,n03814906,necklace
n03825788,640,n03825788,nipple
n03832673,641,n03832673,"notebook, notebook computer"
n03837869,642,n03837869,obelisk
n03838899,643,n03838899,"oboe, hautboy, hautbois"
n03840681,644,n03840681,"ocarina, sweet potato"
n03841143,645,n03841143,"odometer, hodometer, mileometer, milometer"
n03843555,646,n03843555,oil filter
n03854065,647,n03854065,"organ, pipe organ"
n03857828,648,n03857828,"oscilloscope, scope, cathode-ray oscilloscope, CRO"
n03866082,649,n03866082,overskirt
n03868242,650,n03868242,oxcart
n03868863,651,n03868863,oxygen mask
n03873416,652,n03873416,"paddle, boat paddle"
n03874293,653,n03874293,"paddlewheel, paddle wheel"
n03874599,654,n03874599,padlock
n03876231,655,n03876231,paintbrush
n03877472,656,n03877472,"pajama, pyjama, pj's, jammies"
n03877845,657,n03877845,palace
n03884397,658,n03884397,"panpipe, pandean pipe, syrinx"
n03888257,659,n03888257,"parachute, chute"
n03888605,660,n03888605,"parallel bars, bars"
n03891251,661,n03891251,park bench
n03891332,662,n03891332,parking meter
n03895866,663,n03895866,"passenger car, coach, carriage"
n03902125,664,n03902125,"pay-phone, pay-station"
n03903868,665,n03903868,"pedestal, plinth, footstall"
n03908618,666,n03908618,"pencil box, pencil case"
n03908714,667,n03908714,pencil sharpener
n03916031,668,n03916031,"perfume, essence"
n03920288,669,n03920288,Petri dish
n03924679,670,n03924679,photocopier
n03929660,671,n03929660,"pick, plectrum, plectron"
n03929855,672,n03929855,pickelhaube
n03930313,673,n03930313,"picket fence, paling"
n03930630,674,n03930630,"pickup, pickup truck"
n03933933,675,n03933933,pier
n03935335,676,n03935335,"piggy bank, penny bank"
n03937543,677,n03937543,pill bottle
n03938244,678,n03938244,pillow
n03942813,679,n03942813,ping-pong ball
n03944341,680,n03944341,pinwheel
n03947888,681,n03947888,"pirate, pirate ship"
n03950228,682,n03950228,"pitcher, ewer"
n03954731,683,n03954731,"plane, carpenter's plane, woodworking plane"
n03956157,684,n03956157,planetarium
n03958227,685,n03958227,plastic bag
n03961711,686,n03961711,plate rack
n03970156,687,n03970156,"plunger, plumber's helper"
n03976467,688,n03976467,"Polaroid camera, Polaroid Land camera"
n03976657,689,n03976657,pole
n03977966,690,n03977966,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
n03980874,691,n03980874,poncho
n03982430,692,n03982430,"pool table, billiard table, snooker table"
n03983396,693,n03983396,"pop bottle, soda bottle"
n03991062,694,n03991062,"pot, flowerpot"
n03992509,695,n03992509,potter's wheel
n03995372,696,n03995372,power drill
n03998194,697,n03998194,"prayer rug, prayer mat"
n04004767,698,n04004767,printer
n04005630,699,n04005630,"prison, prison house"
n04009552,700,n04009552,projector
n04019541,701,n04019541,"puck, hockey puck"
n04023962,702,n04023962,"punching bag, punch bag, punching ball, punchball"
n04026417,703,n04026417,purse
n04033901,704,n04033901,"quill, quill pen"
n04033995,705,n04033995,"quilt, comforter, comfort, puff"
n04037443,706,n04037443,"racer, race car, racing car"
n04039381,707,n04039381,"racket, racquet"
n04040759,708,n04040759,radiator
n04041544,709,n04041544,"radio, wireless"
n04044716,710,n04044716,"radio telescope, radio reflector"
n04049303,711,n04049303,rain barrel
n04065272,712,n04065272,"recreational vehicle, RV, R.V."
n04067472,713,n04067472,reel
n04069434,714,n04069434,reflex camera
n04070727,715,n04070727,"refrigerator, icebox"
n04074963,716,n04074963,"remote control, remote"
n04086273,717,n04086273,"revolver, six-gun, six-shooter"
n04090263,718,n04090263,rifle
n04099969,719,n04099969,"rocking chair, rocker"
n04116512,720,n04116512,"rubber eraser, rubber, pencil eraser"
n04118538,721,n04118538,rugby ball
n04118776,722,n04118776,"rule, ruler"
n04120489,723,n04120489,running shoe
n04125021,724,n04125021,safe
n04127249,725,n04127249,safety pin
n04131690,726,n04131690,"saltshaker, salt shaker"
n04133789,727,n04133789,sandal
n04136333,728,n04136333,sarong
n04141076,729,n04141076,"sax, saxophone"
n04141327,730,n04141327,scabbard
n04141975,731,n04141975,"scale, weighing machine"
n04146614,732,n04146614,school bus
n04147183,733,n04147183,schooner
n04149813,734,n04149813,scoreboard
n04153751,735,n04153751,screw
n04154565,736,n04154565,screwdriver
n04162706,737,n04162706,"seat belt, seatbelt"
n04179913,738,n04179913,sewing machine
n04192698,739,n04192698,"shield, buckler"
n04201297,740,n04201297,shoji
n04204238,741,n04204238,shopping basket
n04204347,742,n04204347,shopping cart
n04208210,743,n04208210,shovel
n04209133,744,n04209133,shower cap
n04209239,745,n04209239,shower curtain
n04228054,746,n04228054,ski
n04229816,747,n04229816,ski mask
n04235860,748,n04235860,sleeping bag
n04238763,749,n04238763,"slide rule, slipstick"
n04243546,750,n04243546,"slot, one-armed bandit"
n04252077,751,n04252077,snowmobile
n04252225,752,n04252225,"snowplow, snowplough"
n04254120,753,n04254120,soap dispenser
n04254680,754,n04254680,soccer ball
n04254777,755,n04254777,sock
n04258138,756,n04258138,"solar dish, solar collector, solar furnace"
n04259630,757,n04259630,sombrero
n04263257,758,n04263257,soup bowl
n04265275,759,n04265275,space heater
n04266014,760,n04266014,space shuttle
n04270147,761,n04270147,spatula
n04273569,762,n04273569,speedboat
n04275548,763,n04275548,"spider web, spider's web"
n04277352,764,n04277352,spindle
n04285008,765,n04285008,"sports car, sport car"
n04286575,766,n04286575,"spotlight, spot"
n04310018,767,n04310018,steam locomotive
n04311004,768,n04311004,steel arch bridge
n04311174,769,n04311174,steel drum
n04317175,770,n04317175,stethoscope
n04325704,771,n04325704,stole
n04326547,772,n04326547,stone wall
n04328186,773,n04328186,"stopwatch, stop watch"
n04330267,774,n04330267,stove
n04332243,775,n04332243,strainer
n04335435,776,n04335435,"streetcar, tram, tramcar, trolley, trolley car"
n04336792,777,n04336792,stretcher
n04344873,778,n04344873,"studio couch, day bed"
n04346328,779,n04346328,"stupa, tope"
n04347754,780,n04347754,"submarine, pigboat, sub, U-boat"
n04350905,781,n04350905,"suit, suit of clothes"
n04355338,782,n04355338,sundial
n04355933,783,n04355933,sunglass
n04366367,784,n04366367,suspension bridge
n04367480,785,n04367480,"swab, swob, mop"
n04370456,786,n04370456,sweatshirt
n04371430,787,n04371430,"swimming trunks, bathing trunks"
n04371774,788,n04371774,swing
n04376876,789,n04376876,syringe
n04380533,790,n04380533,table lamp
n04389033,791,n04389033,"tank, army tank, armored combat vehicle, armoured combat vehicle"
n04398044,792,n04398044,teapot
n04399382,793,n04399382,"teddy, teddy bear"
n04404412,794,n04404412,"television, television system"
n04409515,795,n04409515,tennis ball
n04417672,796,n04417672,"thatch, thatched roof"
n04418357,797,n04418357,"theater curtain, theatre curtain"
n04423845,798,n04423845,thimble
n04428191,799,n04428191,"thresher, thrasher, threshing machine"
n04429376,800,n04429376,throne
n04435653,801,n04435653,tile roof
n04442312,802,n04442312,toaster
n04447861,803,n04447861,toilet seat
n04456115,804,n04456115,torch
n04458633,805,n04458633,totem pole
n04461696,806,n04461696,"tow truck, tow car, wrecker"
n04465501,807,n04465501,tractor
n04467665,808,n04467665,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
n04476259,809,n04476259,tray
n04479046,810,n04479046,trench coat
n04482393,811,n04482393,"tricycle, trike, velocipede"
n04483307,812,n04483307,trimaran
n04485082,813,n04485082,tripod
n04486054,814,n04486054,triumphal arch
n04487081,815,n04487081,"trolleybus, trolley coach, trackless trolley"
n04487394,816,n04487394,trombone
n04505470,817,n04505470,typewriter keyboard
n04507155,818,n04507155,umbrella
n04509417,819,n04509417,"unicycle, monocycle"
n04515003,820,n04515003,"upright, upright piano"
n04517823,821,n04517823,"vacuum, vacuum cleaner"
n04522168,822,n04522168,vase
n04525038,823,n04525038,velvet
n04525305,824,n04525305,vending machine
n04532106,825,n04532106,vestment
n04532670,826,n04532670,viaduct
n04536866,827,n04536866,"violin, fiddle"
n04540053,828,n04540053,volleyball
n04542943,829,n04542943,waffle iron
n04548280,830,n04548280,wall clock
n04548362,831,n04548362,"wallet, billfold, notecase, pocketbook"
n04550184,832,n04550184,"wardrobe, closet, press"
n04552348,833,n04552348,"warplane, military plane"
n04553703,834,n04553703,"washbasin, handbasin, washbowl, lavabo, wash-hand basin"
n04554684,835,n04554684,"washer, automatic washer, washing machine"
n04557648,836,n04557648,water bottle
n04560804,837,n04560804,water jug
n04562935,838,n04562935,water tower
n04579145,839,n04579145,whiskey jug
n04579432,840,n04579432,whistle
n04584207,841,n04584207,wig
n04589890,842,n04589890,window screen
n04590129,843,n04590129,window shade
n04591157,844,n04591157,Windsor tie
n04591713,845,n04591713,wine bottle
n04596742,846,n04596742,wok
n04597913,847,n04597913,wooden spoon
n04604644,848,n04604644,"worm fence, snake fence, snake-rail fence, Virginia fence"
n04606251,849,n04606251,wreck
n04612504,850,n04612504,yawl
n04613696,851,n04613696,yurt
n06596364,852,n06596364,comic book
n06794110,853,n06794110,street sign
n06874185,854,n06874185,"traffic light, traffic signal, stoplight"
n07565083,855,n07565083,menu
n07579787,856,n07579787,plate
n07583066,857,n07583066,guacamole
n07584110,858,n07584110,consomme
n07613480,859,n07613480,trifle
n07614500,860,n07614500,"ice cream, icecream"
n07615774,861,n07615774,"ice lolly, lolly, lollipop, popsicle"
n07684084,862,n07684084,French loaf
n07693725,863,n07693725,"bagel, beigel"
n07695742,864,n07695742,pretzel
n07697313,865,n07697313,cheeseburger
n07697537,866,n07697537,"hotdog, hot dog, red hot"
n07711569,867,n07711569,mashed potato
n07714571,868,n07714571,head cabbage
n07714990,869,n07714990,broccoli
n07715103,870,n07715103,cauliflower
n07716358,871,n07716358,"zucchini, courgette"
n07716906,872,n07716906,spaghetti squash
n07717410,873,n07717410,acorn squash
n07717556,874,n07717556,butternut squash
n07718472,875,n07718472,"cucumber, cuke"
n07718747,876,n07718747,"artichoke, globe artichoke"
n07720875,877,n07720875,bell pepper
n07730033,878,n07730033,cardoon
n07734744,879,n07734744,mushroom
n07742313,880,n07742313,Granny Smith
n07745940,881,n07745940,strawberry
n07747607,882,n07747607,orange
n07749582,883,n07749582,lemon
n07753113,884,n07753113,fig
n07753275,885,n07753275,"pineapple, ananas"
n07753592,886,n07753592,banana
n07754684,887,n07754684,"jackfruit, jak, jack"
n07760859,888,n07760859,custard apple
n07768694,889,n07768694,pomegranate
n07802026,890,n07802026,hay
n07831146,891,n07831146,carbonara
n07860988,892,n07860988,dough
n07871810,893,n07871810,"meat loaf, meatloaf"
n07873807,894,n07873807,"pizza, pizza pie"
n07875152,895,n07875152,potpie
n07880968,896,n07880968,burrito
n07930864,897,n07930864,cup
n07932039,898,n07932039,eggnog
n09229709,899,n09229709,bubble
n09246464,900,n09246464,"cliff, drop, drop-off"
n09256479,901,n09256479,coral reef
n09835506,902,n09835506,"ballplayer, baseball player"
n10565667,903,n10565667,scuba diver
n11879895,904,n11879895,rapeseed
n11939491,905,n11939491,daisy
n12057211,906,n12057211,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum"
n12144580,907,n12144580,corn
n12267677,908,n12267677,acorn
n12620546,909,n12620546,"hip, rose hip, rosehip"
n12768682,910,n12768682,"buckeye, horse chestnut, conker"
n12985857,911,n12985857,coral fungus
n12998815,912,n12998815,agaric
n13037406,913,n13037406,gyromitra
n13040303,914,n13040303,"stinkhorn, carrion fungus"
n13044778,915,n13044778,earthstar
n13052670,916,n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa"
n13054560,917,n13054560,bolete
n13133613,918,n13133613,"ear, spike, capitulum"
n15075141,919,n15075141,"toilet tissue, toilet paper, bathroom tissue"
